易发TV,#genre#
好莱坞电影 HD,http://startv365.com:80/live/9794783213/6955630461/5526.m3u8
寰宇财经 HD,http://startv365.com:80/live/9794783213/6955630461/5525.m3u8
JET TV HD,http://startv365.com:80/live/9794783213/6955630461/5522.m3u8
Arirang HD,http://startv365.com:80/live/9794783213/6955630461/5521.m3u8
龙华偶像 HD,http://startv365.com:80/live/9794783213/6955630461/5518.m3u8
龙华电影 HD,http://startv365.com:80/live/9794783213/6955630461/5516.m3u8
龙华洋片 HD,http://startv365.com:80/live/9794783213/6955630461/5515.m3u8
龙华戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5514.m3u8
龙祥时代 HD,http://startv365.com:80/live/9794783213/6955630461/5513.m3u8
美亚电影 HD,http://startv365.com:80/live/9794783213/6955630461/5511.m3u8
东森MOMO HD,http://startv365.com:80/live/9794783213/6955630461/5510.m3u8
年代新闻 HD,http://startv365.com:80/live/9794783213/6955630461/5509.m3u8
年代电视 HD,http://startv365.com:80/live/9794783213/6955630461/5508.m3u8
壹电视 HD,http://startv365.com:80/live/9794783213/6955630461/5507.m3u8
三立都会 HD,http://startv365.com:80/live/9794783213/6955630461/5506.m3u8
三立台湾 HD,http://startv365.com:80/live/9794783213/6955630461/5505.m3u8
三立戏剧 HD,http://startv365.com:80/live/9794783213/6955630461/5504.m3u8
三立综合 HD,http://startv365.com:80/live/9794783213/6955630461/5503.m3u8
台视台湾台 HD,http://startv365.com:80/live/9794783213/6955630461/5502.m3u8
台视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5501.m3u8
台视综合台 HD,http://startv365.com:80/live/9794783213/6955630461/5500.m3u8
TVBS N HD,http://startv365.com:80/live/9794783213/6955630461/5499.m3u8
TVBS G HD,http://startv365.com:80/live/9794783213/6955630461/5498.m3u8
TVBS欢乐台 HD,http://startv365.com:80/live/9794783213/6955630461/5497.m3u8
TVBS HD,http://startv365.com:80/live/9794783213/6955630461/5496.m3u8
纬来日本 HD,http://startv365.com:80/live/9794783213/6955630461/5495.m3u8
纬来精彩 HD,http://startv365.com:80/live/9794783213/6955630461/5494.m3u8
纬来体育 HD,http://startv365.com:80/live/9794783213/6955630461/5492.m3u8
卫视中文台 HD,http://startv365.com:80/live/9794783213/6955630461/5489.m3u8
星卫电影 HD,http://startv365.com:80/live/9794783213/6955630461/5488.m3u8
星卫娱乐 HD,http://startv365.com:80/live/9794783213/6955630461/5487.m3u8
中视 HD,http://startv365.com:80/live/9794783213/6955630461/5486.m3u8
中视高清 HD,http://startv365.com:80/live/9794783213/6955630461/5485.m3u8
中视新闻台 HD,http://startv365.com:80/live/9794783213/6955630461/5484.m3u8
